Nome,Ordine,Vino,Voto,Offerta,Champagne
Bargo,,A,1,3,
Bargo,,B,3,13,
Bargo,,C,1,1,
Bargo,,D,5,29,yes
Bargo,,E,2,8,
Bargo,,F,2,20,yes
Fede,,A,2,3,
Fede,,B,3,13,
Fede,,C,1,1,
Fede,,D,4,29,yes
Fede,,E,3,8,
Fede,,F,4,20,yes
Ceci,,A,,8,
Ceci,,B,,20,yes
Ceci,,C,,1,
Ceci,,D,,29,yes
Ceci,,E,,13,
Ceci,,F,,3,
Dario,,A,3,8,
Dario,,B,2,3,
Dario,,C,1,1,
Dario,,D,4,20,yes
Dario,,E,3,13,
Dario,,F,5,29,yes
Ele,,A,2,3,
Ele,,B,4,8,
Ele,,C,1,1,
Ele,,D,5,29,yes
Ele,,E,4,13,
Ele,,F,4,20,yes
Pala,,A,4,20,
Pala,,B,3,8,
Pala,,C,1,1,
Pala,,D,5,29,yes
Pala,,E,,29,yes
Pala,,F,3,13,
Pietro,,A,1,3,
Pietro,,B,2,13,
Pietro,,C,1,1,
Pietro,,D,2,8,
Pietro,,E,3,20,yes
Pietro,,F,3,29,yes
Frati,,A,,3,
Frati,,B,3,8,
Frati,,C,1,1,
Frati,,D,3,20,yes
Frati,,E,4,13,
Frati,,F,5,29,yes
Vass,,A,4,13,yes
Vass,,B,4,8,
Vass,,C,1,1,
Vass,,D,4,20,yes
Vass,,E,3,3,
Vass,,F,3,29,yes
Carlotta,,A,3,13,
Carlotta,,B,2,3,
Carlotta,,C,2,1,
Carlotta,,D,4,29,yes
Carlotta,,E,3,20,
Carlotta,,F,3,8,
Samu,,A,3,20,yes
Samu,,B,3,13,
Samu,,C,1,1,
Samu,,D,2,8,
Samu,,E,4,29,yes
Samu,,F,2,3,
French,,A,4,29,yes
French,,B,2,3,
French,,C,1,1,
French,,D,4,20,yes
French,,E,2,3,
French,,F,3,13,
